House Collection,Self Disposal
0,0
0,0
0,0
0,0
1,0
2,0
4,0
5,4
5,12
5,12
5,12
5,12
5,12
5,12
5,12
5,12
5,15
5,26
5,40
5,55
9,69
18,80
32,88
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
